timestamps population node_ids
120415 'shock' 0
120420 'shock' 0
120425 'shock' 0
120430 'shock' 0
120435 'shock' 0
120440 'shock' 0
120445 'shock' 0
120450 'shock' 0
120455 'shock' 0
120460 'shock' 0
120465 'shock' 0
120470 'shock' 0
120475 'shock' 0
120480 'shock' 0
120485 'shock' 0
120490 'shock' 0
120495 'shock' 0
120500 'shock' 0
124400 'shock' 0
124405 'shock' 0
124410 'shock' 0
124415 'shock' 0
124420 'shock' 0
124425 'shock' 0
124430 'shock' 0
124435 'shock' 0
124440 'shock' 0
124445 'shock' 0
124450 'shock' 0
124455 'shock' 0
124460 'shock' 0
124465 'shock' 0
124470 'shock' 0
124475 'shock' 0
124480 'shock' 0
124485 'shock' 0
124490 'shock' 0
124495 'shock' 0
124500 'shock' 0
128400 'shock' 0
128405 'shock' 0
128410 'shock' 0
128415 'shock' 0
128420 'shock' 0
128425 'shock' 0
128430 'shock' 0
128435 'shock' 0
128440 'shock' 0
128445 'shock' 0
128450 'shock' 0
128455 'shock' 0
128460 'shock' 0
128465 'shock' 0
128470 'shock' 0
128475 'shock' 0
128480 'shock' 0
128485 'shock' 0
128490 'shock' 0
128495 'shock' 0
128500 'shock' 0
132400 'shock' 0
132405 'shock' 0
132410 'shock' 0
132415 'shock' 0
132420 'shock' 0
132425 'shock' 0
132430 'shock' 0
132435 'shock' 0
132440 'shock' 0
132445 'shock' 0
132450 'shock' 0
132455 'shock' 0
132460 'shock' 0
132465 'shock' 0
132470 'shock' 0
132475 'shock' 0
132480 'shock' 0
132485 'shock' 0
132490 'shock' 0
132495 'shock' 0
132500 'shock' 0
136400 'shock' 0
136405 'shock' 0
136410 'shock' 0
136415 'shock' 0
136420 'shock' 0
136425 'shock' 0
136430 'shock' 0
136435 'shock' 0
136440 'shock' 0
136445 'shock' 0
136450 'shock' 0
136455 'shock' 0
136460 'shock' 0
136465 'shock' 0
136470 'shock' 0
136475 'shock' 0
136480 'shock' 0
136485 'shock' 0
136490 'shock' 0
136495 'shock' 0
136500 'shock' 0
140400 'shock' 0
140405 'shock' 0
140410 'shock' 0
140415 'shock' 0
140420 'shock' 0
140425 'shock' 0
140430 'shock' 0
140435 'shock' 0
140440 'shock' 0
140445 'shock' 0
140450 'shock' 0
140455 'shock' 0
140460 'shock' 0
140465 'shock' 0
140470 'shock' 0
140475 'shock' 0
140480 'shock' 0
140485 'shock' 0
140490 'shock' 0
140495 'shock' 0
140500 'shock' 0
144400 'shock' 0
144405 'shock' 0
144410 'shock' 0
144415 'shock' 0
144420 'shock' 0
144425 'shock' 0
144430 'shock' 0
144435 'shock' 0
144440 'shock' 0
144445 'shock' 0
144450 'shock' 0
144455 'shock' 0
144460 'shock' 0
144465 'shock' 0
144470 'shock' 0
144475 'shock' 0
144480 'shock' 0
144485 'shock' 0
144490 'shock' 0
144495 'shock' 0
144500 'shock' 0
148400 'shock' 0
148405 'shock' 0
148410 'shock' 0
148415 'shock' 0
148420 'shock' 0
148425 'shock' 0
148430 'shock' 0
148435 'shock' 0
148440 'shock' 0
148445 'shock' 0
148450 'shock' 0
148455 'shock' 0
148460 'shock' 0
148465 'shock' 0
148470 'shock' 0
148475 'shock' 0
148480 'shock' 0
148485 'shock' 0
148490 'shock' 0
148495 'shock' 0
148500 'shock' 0
152400 'shock' 0
152405 'shock' 0
152410 'shock' 0
152415 'shock' 0
152420 'shock' 0
152425 'shock' 0
152430 'shock' 0
152435 'shock' 0
152440 'shock' 0
152445 'shock' 0
152450 'shock' 0
152455 'shock' 0
152460 'shock' 0
152465 'shock' 0
152470 'shock' 0
152475 'shock' 0
152480 'shock' 0
152485 'shock' 0
152490 'shock' 0
152495 'shock' 0
152500 'shock' 0
156400 'shock' 0
156405 'shock' 0
156410 'shock' 0
156415 'shock' 0
156420 'shock' 0
156425 'shock' 0
156430 'shock' 0
156435 'shock' 0
156440 'shock' 0
156445 'shock' 0
156450 'shock' 0
156455 'shock' 0
156460 'shock' 0
156465 'shock' 0
156470 'shock' 0
156475 'shock' 0
156480 'shock' 0
156485 'shock' 0
156490 'shock' 0
156495 'shock' 0
156500 'shock' 0
